"","Mech","Score","pred","mean_resid","median_resid"
"1","Adder",2422.18666666667,2324.50754872649,97.6791179401741,-39.5075487264926
"2","Arctic Cheetah",2853.08,2274.6293983638,578.450601636203,455.370601636203
"3","Atlas",2779.42666666667,2972.92350344154,-193.496836774869,-282.923503441536
"4","Awesome",2950.92,2773.41090199075,177.509098009247,70.5890980092468
"5","Banshee",2810.25333333333,2923.04535307884,-112.792019745507,-307.04535307884
"6","Battlemaster",3087.10666666667,2823.28905235345,263.817614313218,72.7109476465512
"7","Blackjack",2641.12,2424.26384945188,216.856150548116,97.7361505481158
"8","Centurion",2517.66666666667,2474.14199981458,43.5246668520873,-84.1419998145793
"9","Cicada",2643.28,2374.38569908919,268.894300910812,155.614300910812
"10","Commando",1956.18666666667,2224.7512480011,-268.564581334435,-344.751248001101
"11","Crab",2368.13333333333,2474.14199981458,-106.008666481246,-226.141999814579
"12","Dire Wolf",3228.66666666667,2972.92350344154,255.743163225131,123.076496558464
"13","Enforcer",2435.28,2524.02015017728,-88.7401501772754,-144.020150177275
"14","Executioner",2708.58666666667,2923.04535307884,-214.458686412173,-367.04535307884
"15","Firestarter",2185.38666666667,2324.50754872649,-139.120882059826,-296.507548726493
"16","Gargoyle",2623.76,2773.41090199075,-149.650901990753,-231.410901990753
"17","Griffin",2483.2,2524.02015017728,-40.8201501772754,-148.020150177275
"18","Highlander",2402.50666666667,2873.16720271614,-470.660536049478,-613.167202716144
"19","Highlander IIC",2771.74666666667,2873.16720271614,-101.420536049478,-226.167202716144
"20","Hunchback",2534.72,2474.14199981458,60.5780001854207,9.85800018542068
"21","Hunchback IIC",2908.17333333333,2474.14199981458,434.031333518754,351.858000185421
"22","Ice Ferret",2257.04,2424.26384945188,-167.223849451884,-305.263849451884
"23","Jenner",2351.25333333333,2324.50754872649,26.7457846068407,-38.5075487264926
"24","Jenner IIC",2379.01333333333,2324.50754872649,54.5057846068407,-30.5075487264926
"25","King Crab",2928.28,2972.92350344154,-44.6435034415356,-124.923503441536
"26","Kintaro",2307.77333333333,2524.02015017728,-216.246816843942,-277.020150177275
"27","Kit Fox",2132.24,2274.6293983638,-142.389398363797,-215.629398363797
"28","Kodiak",3689.49333333333,2972.92350344154,716.569829891798,581.076496558464
"29","Locust",2511.68,2174.87309763841,336.806902361594,223.126902361594
"30","Mauler",3092.57333333333,2873.16720271614,219.406130617189,144.832797283856
"31","Mist Lynx",1919.06666666667,2224.7512480011,-305.684581334435,-400.751248001101
"32","Nova",3158.93333333333,2474.14199981458,684.791333518754,592.858000185421
"33","Panther",2043.57333333333,2324.50754872649,-280.934215393159,-403.507548726493
"34","Phoenix Hawk",2013.21333333333,2424.26384945188,-411.050516118551,-501.263849451884
"35","Raven",2393.90666666667,2324.50754872649,69.3991179401741,-22.5075487264926
"36","Shadow Cat",2692.64,2424.26384945188,268.376150548116,128.736150548116
"37","Shadow Hawk",2571.57333333333,2524.02015017728,47.553183156058,-110.020150177275
"38","Spider",2191.42666666667,2274.6293983638,-83.2027316971303,-210.629398363797
"39","Stalker",2773.89333333333,2823.28905235345,-49.3957190201155,-119.289052353449
"40","Stormcrow",2789.62666666667,2524.02015017728,265.606516489391,141.979849822725
"41","Trebuchet",2308.22666666667,2474.14199981458,-165.915333147913,-254.141999814579
"42","Urban Mech",1925.34666666667,2274.6293983638,-349.28273169713,-472.629398363797
"43","Victor",2251.93333333333,2773.41090199075,-521.47756865742,-588.410901990753
"44","Vindicator",2140.86666666667,2424.26384945188,-283.397182785218,-405.263849451884
"45","Viper",2668.12,2374.38569908919,293.734300910812,242.614300910812
"46","Warhawk",2906.49333333333,2823.28905235345,83.2042809798845,-32.2890523534488
"47","Wolf Hound",2146.74666666667,2324.50754872649,-177.760882059826,-268.507548726493
"48","Wolverine",2428.65333333333,2524.02015017728,-95.366816843942,-209.020150177275
"49","Zeus",2489.33333333333,2773.41090199075,-284.07756865742,-374.410901990753
