Mech,Mean (logScore),Predicted Log(Score),Mean Residual,Median Residual
Arctic Cheetah,7.949,7.701,0.248,0.211
Nova,8.051,7.816,0.235,0.213
Kodiak,8.206,7.972,0.234,0.204
Locust,7.820,7.609,0.210,0.173
Hunchback IIC,7.969,7.816,0.153,0.131
Cyclops,8.087,7.948,0.139,0.107
Viper,7.885,7.766,0.119,0.104
Cicada,7.870,7.766,0.105,0.070
Dire Wolf,8.074,7.972,0.103,0.066
Shadow Cat,7.890,7.792,0.098,0.053
Battlemaster,8.025,7.935,0.090,0.036
Stormcrow,7.926,7.837,0.089,0.051
Mauler,8.033,7.948,0.085,0.064
Blackjack,7.870,7.792,0.078,0.041
Awesome,7.985,7.922,0.063,0.031
Adder,7.783,7.735,0.047,-0.001
Raven,7.773,7.735,0.037,0.006
Warhawk,7.967,7.935,0.031,-0.001
Jenner IIC,7.766,7.735,0.030,0.003
Jenner,7.755,7.735,0.020,-0.001
Hunchback,7.829,7.816,0.013,0.002
King Crab,7.977,7.972,0.005,-0.018
Centurion,7.820,7.816,0.004,-0.037
Shadow Hawk,7.840,7.837,0.002,-0.048
Stalker,7.922,7.935,-0.014,-0.033
Spider,7.681,7.701,-0.020,-0.068
Highlander IIC,7.919,7.948,-0.029,-0.067
Griffin,7.807,7.837,-0.030,-0.064
Banshee,7.929,7.960,-0.031,-0.091
Kit Fox,7.657,7.701,-0.044,-0.071
Atlas,7.925,7.972,-0.047,-0.075
Enforcer,7.787,7.837,-0.051,-0.062
Crab,7.758,7.816,-0.058,-0.098
Gargoyle,7.862,7.922,-0.059,-0.081
Wolverine,7.777,7.837,-0.060,-0.090
Firestarter,7.674,7.735,-0.062,-0.121
Executioner,7.891,7.960,-0.070,-0.114
Wolf Hound,7.660,7.735,-0.075,-0.107
Trebuchet,7.732,7.816,-0.084,-0.111
Ice Ferret,7.702,7.792,-0.090,-0.133
Commando,7.569,7.660,-0.091,-0.121
Kintaro,7.735,7.837,-0.102,-0.120
Zeus,7.812,7.922,-0.110,-0.139
Mist Lynx,7.545,7.660,-0.115,-0.151
Panther,7.607,7.735,-0.128,-0.175
Vindicator,7.654,7.792,-0.138,-0.182
Urban Mech,7.549,7.701,-0.152,-0.204
Highlander,7.771,7.948,-0.177,-0.225
Phoenix Hawk,7.597,7.792,-0.195,-0.230
Victor,7.711,7.922,-0.210,-0.232
