"","Mech","Score","pred","mean_resid","median_resid"
"1","Adder",2422.18666666667,2322.86695938647,99.3197072802006,-37.8669593864661
"2","Arctic Cheetah",2853.08,2270.91546580273,582.164534197268,459.084534197268
"3","Atlas",2779.42666666667,2998.23637597501,-218.809709308346,-308.236375975012
"4","Awesome",2950.92,2790.43040164008,160.489598359925,53.5695983599248
"5","Banshee",2810.25333333333,2946.28488239128,-136.031549057945,-330.284882391278
"6","Battlemaster",3087.10666666667,2842.38189522381,244.724771442857,53.6181047761906
"7","Blackjack",2641.12,2426.76994655393,214.350053446065,95.2300534460651
"8","Centurion",2517.66666666667,2478.72144013767,38.9452265289976,-88.7214401376691
"9","Cicada",2643.28,2374.8184529702,268.461547029799,155.181547029799
"10","Commando",1956.18666666667,2218.963972219,-262.777305552331,-338.963972218998
"11","Crab",2368.13333333333,2478.72144013767,-110.588106804336,-230.721440137669
"12","Cyclops",3265.93333333333,2894.33338880754,371.599944525789,254.666611192456
"13","Dire Wolf",3228.66666666667,2998.23637597501,230.430290691654,97.7636240249876
"14","Enforcer",2435.28,2530.6729337214,-95.3929337214038,-150.672933721404
"15","Executioner",2708.58666666667,2946.28488239128,-237.698215724612,-390.284882391278
"16","Firestarter",2185.38666666667,2322.86695938647,-137.480292719799,-294.866959386466
"17","Gargoyle",2623.76,2790.43040164008,-166.670401640075,-248.430401640075
"18","Griffin",2483.2,2530.6729337214,-47.4729337214037,-154.672933721404
"19","Highlander",2402.50666666667,2894.33338880754,-491.826722140877,-634.333388807544
"20","Highlander IIC",2771.74666666667,2894.33338880754,-122.586722140877,-247.333388807544
"21","Hunchback",2534.72,2478.72144013767,55.9985598623309,5.27855986233089
"22","Hunchback IIC",2908.17333333333,2478.72144013767,429.451893195664,347.278559862331
"23","Ice Ferret",2257.04,2426.76994655393,-169.729946553935,-307.769946553935
"24","Jenner",2351.25333333333,2322.86695938647,28.3863739468673,-36.8669593864661
"25","Jenner IIC",2379.01333333333,2322.86695938647,56.1463739468673,-28.8669593864661
"26","King Crab",2928.28,2998.23637597501,-69.9563759750124,-150.236375975012
"27","Kintaro",2307.77333333333,2530.6729337214,-222.89960038807,-283.672933721404
"28","Kit Fox",2132.24,2270.91546580273,-138.675465802732,-211.915465802732
"29","Kodiak",3689.49333333333,2998.23637597501,691.256957358321,555.763624024988
"30","Locust",2511.68,2167.01247863526,344.667521364737,230.987521364736
"31","Mauler",3092.57333333333,2894.33338880754,198.239944525789,123.666611192456
"32","Mist Lynx",1919.06666666667,2218.963972219,-299.897305552331,-394.963972218998
"33","Nova",3158.93333333333,2478.72144013767,680.211893195664,588.278559862331
"34","Panther",2043.57333333333,2322.86695938647,-279.293626053133,-401.866959386466
"35","Phoenix Hawk",2013.21333333333,2426.76994655393,-413.556613220602,-503.769946553935
"36","Raven",2393.90666666667,2322.86695938647,71.0397072802006,-20.8669593864661
"37","Shadow Cat",2692.64,2426.76994655393,265.870053446065,126.230053446065
"38","Shadow Hawk",2571.57333333333,2530.6729337214,40.9003996119296,-116.672933721404
"39","Spider",2191.42666666667,2270.91546580273,-79.4887991360652,-206.915465802732
"40","Stalker",2773.89333333333,2842.38189522381,-68.488561890476,-138.381895223809
"41","Stormcrow",2789.62666666667,2530.6729337214,258.953732945263,135.327066278596
"42","Trebuchet",2308.22666666667,2478.72144013767,-170.494773471002,-258.721440137669
"43","Urban Mech",1925.34666666667,2270.91546580273,-345.568799136065,-468.915465802732
"44","Victor",2251.93333333333,2790.43040164008,-538.497068306742,-605.430401640075
"45","Vindicator",2140.86666666667,2426.76994655393,-285.903279887268,-407.769946553935
"46","Viper",2668.12,2374.8184529702,293.301547029799,242.181547029799
"47","Warhawk",2906.49333333333,2842.38189522381,64.111438109524,-51.3818952238094
"48","Wolf Hound",2146.74666666667,2322.86695938647,-176.120292719799,-266.866959386466
"49","Wolverine",2428.65333333333,2530.6729337214,-102.01960038807,-215.672933721404
"50","Zeus",2489.33333333333,2790.43040164008,-301.097068306742,-391.430401640075
